Time,SoilMoisture,Temperature,Humidity,Pressure
2021-11-20 20:23:20.000,94.4,12.39,55.6,956.53
2021-11-20 20:23:25.000,94.6,12.39,55.6,956.53
2021-11-20 20:23:31.000,94.4,12.15,55.91,956.56
2021-11-20 20:23:35.000,94.6,12.15,55.91,956.56
2021-11-20 20:23:40.000,95,11.79,56.47,956.57
2021-11-20 20:23:45.000,94.8,11.79,56.47,956.57
2021-11-20 20:23:50.000,94.6,11.72,57.68,956.6
2021-11-20 20:23:55.000,95,11.72,57.68,956.6
2021-11-20 20:24:00.000,95,11.58,57.66,956.63
2021-11-20 20:24:05.000,95,11.58,57.66,956.63
2021-11-20 20:24:10.000,95.2,11.43,57.88,956.57
2021-11-20 20:24:15.000,95.2,11.43,57.88,956.57
2021-11-20 20:24:20.000,95.4,11.43,59.18,956.64
2021-11-20 20:24:25.000,95.4,11.43,59.18,956.64
2021-11-20 20:24:30.000,95.4,11.31,58.74,956.58
2021-11-20 20:24:35.000,95.4,11.31,58.74,956.58
2021-11-20 20:24:40.000,95.4,11.3,59.46,956.61
2021-11-20 20:24:45.000,96.8,11.3,59.46,956.61
2021-11-20 20:24:50.000,100,11.19,59.63,956.58
2021-11-20 20:24:55.000,100,11.19,59.63,956.58
2021-11-20 20:25:00.000,100,11.14,60.33,956.63
2021-11-20 20:25:05.000,100,11.14,60.33,956.63
2021-11-20 20:25:10.000,100,11.03,60.25,956.63
2021-11-20 20:25:15.000,100,11.03,60.25,956.63
2021-11-20 20:25:20.000,100,10.95,60.78,956.63
2021-11-20 20:25:25.000,100,10.95,60.78,956.63
2021-11-20 20:25:30.000,100,10.92,60.77,956.63
2021-11-20 20:25:35.000,100,10.92,60.77,956.63
2021-11-20 20:25:40.000,100,10.88,61.75,956.6
2021-11-20 20:25:45.000,100,10.88,61.75,956.6
2021-11-20 20:25:50.000,100,10.75,61.31,956.61
2021-11-20 20:25:55.000,100,10.75,61.31,956.61
2021-11-20 20:26:00.000,100,10.62,61.37,956.59
2021-11-20 20:26:05.000,100,10.62,61.37,956.59
2021-11-20 20:26:10.000,100,10.56,62.9,956.64
2021-11-20 20:26:15.000,100,10.56,62.9,956.64
2021-11-20 20:26:20.000,100,10.48,62.69,956.63
2021-11-20 20:26:25.000,100,10.48,62.69,956.63
2021-11-20 20:26:30.000,100,10.32,62.46,956.59
2021-11-20 20:27:00.000,82,9.94,63.35,956.61
2021-11-20 20:27:05.000,81.2,9.94,63.35,956.61
2021-11-20 20:27:32.000,83.8,9.64,64.3,956.59
2021-11-20 20:27:37.000,85,9.64,64.3,956.59
2021-11-20 20:27:42.000,85,9.6,64.54,956.59
2021-11-20 20:27:47.000,85,9.6,64.54,956.59
2021-11-20 20:27:52.000,85,9.52,64.64,956.65
2021-11-20 20:27:57.000,85,9.52,64.64,956.65
2021-11-20 20:28:02.000,85,9.43,64.75,956.62
2021-11-20 20:28:07.000,85,9.43,64.75,956.62
2021-11-20 20:28:12.000,85,9.38,64.92,956.62
2021-11-20 20:28:17.000,85,9.38,64.92,956.62
2021-11-20 20:28:22.000,85.4,9.27,65.11,956.63
2021-11-20 20:28:27.000,85.6,9.27,65.11,956.63
2021-11-20 20:28:32.000,86,9.16,65.51,956.65
2021-11-20 20:28:37.000,86,9.16,65.51,956.65
2021-11-20 20:28:42.000,86,9.03,65.89,956.66
2021-11-20 20:28:47.000,86,9.03,65.89,956.66
2021-11-20 20:28:52.000,86,8.95,66.21,956.61
2021-11-20 20:28:57.000,86.2,8.95,66.21,956.61
2021-11-20 20:29:02.000,86.2,8.89,66.52,956.64
2021-11-20 20:29:07.000,86.8,8.89,66.52,956.64
2021-11-20 20:29:12.000,86.6,8.93,67.19,956.64
2021-11-20 20:29:17.000,86.4,8.93,67.19,956.64
2021-11-20 20:29:22.000,87,9.08,67.29,956.68
2021-11-20 20:29:27.000,86.6,9.08,67.29,956.68
2021-11-20 20:29:32.000,87,9.2,67.08,956.63
2021-11-20 20:29:37.000,87,9.2,67.08,956.63
2021-11-20 20:29:42.000,87,9.23,66.67,956.65
